127.0.0.1 - - [23/Mar/2023:20:11:58 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:00 +0700] "GET /Demo_cuoiky/ HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:05 +0700] "GET /Demo_cuoiky/IndexNhanVien HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:08 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:12 +0700] "GET /Demo_cuoiky/IndexBaiDo HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:14 +0700] "GET /Demo_cuoiky/IndexNhanVien.jsp HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:16 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:17 +0700] "GET /Demo_cuoiky/IndexNhanVien HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:19 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:20 +0700] "GET /Demo_cuoiky/IndexNhanVien HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:21 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:21 +0700] "GET /Demo_cuoiky/IndexNhanVien HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:25 +0700] "GET /Demo_cuoiky/IndexBaiDo.jsp HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:28 +0700] "GET /Demo_cuoiky/IndexNhanVien.jsp HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:30 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:12:31 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:13:50 +0700] "GET /Demo_cuoiky/IndexNhanVien HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:13:57 +0700] "GET /Demo_cuoiky/EditNhanVien.jsp?id=2 HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:13:57 +0700] "GET /Demo_cuoiky/Css/StyleAdd.css HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [23/Mar/2023:20:14:26 +0700] "GET /Demo_cuoiky/AddNhanVien.jsp HTTP/1.1" 200 699
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:24:08 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:24:08 +0700] "GET /Demo_cuoiky/Css/Style.css HTTP/1.1" 200 2947
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:36 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:36 +0700] "GET /Demo_cuoiky/Css/Style.css HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:43 +0700] "GET /Demo_cuoiky/IndexNhanVien HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:43 +0700] "GET /Demo_cuoiky/Css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:49 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:49 +0700] "GET /Demo_cuoiky/Css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:54 +0700] "GET /Demo_cuoiky/LogIn.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:54 +0700] "GET /Demo_cuoiky/Css/styleLogIn.css HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:58 +0700] "GET /Demo_cuoiky/IndexThongke.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:27:58 +0700] "GET /Demo_cuoiky/Css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:28:10 +0700] "GET /Demo_cuoiky/index.jsp HTTP/1.1" 200 1459
0:0:0:0:0:0:0:1 - - [23/Mar/2023:22:28:10 +0700] "GET /Demo_cuoiky/Css/Style.css HTTP/1.1" 304 -
